date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_SHP250,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_SHP840,RohiMETMIN1000_org,RohCOPPER1000_org,WKLWEUR840_org,PRI27840_org,PRI27380_org,PRI27250_org,PRI27276_org,PRO28756_org,PRO28392_org,PRO271000_org,PRO27756_org,PRO27826_org,PRO27392_org,PRO27276_org
2008-06-01,71.72513588378776,71.72513588378776,131.6600249743667,126.53136390439612,124.9979286296866,109.67103798443912,109.4932963341006,126.93121222212788,92.29752364600452,110.96773261640648,117.97931591987889,109.6328686013874,1.555299997329712,97.74235534667967,99.7832260131836,98.69194669209207,98.49176025390624,117.19021547433152,130.5759118253334,106.97019847055196,96.7233865917456,137.47131024847818,118.28448899062526,116.7511825561523
2008-07-01,71.7251358837878,71.7251358837878,113.6543175238372,122.50802990824236,122.25586468987672,108.99560796450068,108.95085903427363,127.04757135432362,91.60518172398493,110.03314588290168,118.90987058631988,111.66939798227897,1.5770000219345093,98.47161102294922,99.88728332519533,98.7695608175138,98.70220947265624,116.19589746402652,125.73927271668217,106.0413305366722,96.59706590432825,136.87256760802313,115.91949250477168,115.7198104858398
2008-08-01,71.72513588378774,71.72513588378774,86.31898940753656,105.55181317418942,107.94831922331304,108.16185504633788,108.24055078072936,112.9003935565996,90.79521856808782,108.97529094433368,109.90311983671089,101.32612262325082,1.497499942779541,98.78754425048828,100.303466796875,98.84089148901263,98.70220947265624,115.01185452852572,111.1699070354575,105.01702967177776,96.36649505454058,133.7591058776569,94.09646186338954,100.5586547851563
2008-09-01,69.46850223195382,69.46850223195382,123.21972514554918,132.09817755582097,135.1788619682984,107.18589440785252,107.3771991514605,130.80261842181713,89.89012666950151,107.81165639786556,98.0221047179873,92.78126749007424,1.436900019645691,99.03092956542967,100.4075241088867,98.90554233904209,98.80743408203124,113.65381587531492,138.40156057816233,103.918635724443,96.04845384223276,148.72767188903302,119.24551457963612,118.0919647216797
2008-10-01,69.46850223195379,69.46850223195379,122.38013798595168,113.37113159062112,110.0057096481159,106.09001234108618,106.38196121149493,133.17210011894596,88.9193851219431,106.56511393915868,72.29347635485833,65.37279485780137,1.332200050354004,98.82167053222656,99.67918395996094,98.96342310454231,98.80743408203124,112.14446664593078,117.43627202800148,102.77210762667752,95.66454176036147,154.8348468216745,105.08226832349524,112.3162841796875
2008-11-01,69.4685022319539,69.4685022319539,105.26752570620768,103.78740910411828,101.93354535296136,104.90202869021904,105.2817463450081,119.98001044959668,87.91848385157483,105.26321586193568,58.709651229196744,49.33123734928986,1.2732000350952148,97.50636291503906,98.63868713378906,99.01477792778584,98.70220947265624,110.51300883044595,107.27272138908164,101.60689680851686,95.2401986663044,142.7402454844826,96.68082141832792,101.6931686401367
2008-12-01,65.8045010091918,65.8045010091918,115.57842293533425,102.20177297640798,101.21010962199952,103.65424624007346,104.1082130333695,111.35541102041331,86.92744100414599,103.93709599960904,50.631236934748145,40.77061533153674,1.3449000120162964,97.23567199707033,98.22248840332033,99.06018742459746,98.49176025390624,108.7942991574032,104.488886234711,100.45449844686402,94.80332958023338,130.52589561919967,97.5383254605034,81.78771209716797
2009-01-01,50.61317486899853,50.61317486899853,95.6312326417886,79.51463504745387,77.7215696774763,102.3820442626602,102.8963929426264,94.45830355570124,85.98889619676628,102.62005987123936,51.68612290621335,42.74431606631271,1.3238999843597412,97.08316040039062,97.5981903076172,99.10054349630438,98.80743408203124,107.02759016217529,80.85534086459583,99.3467995473082,94.38264420639965,108.01317233809,76.78092206240102,79.82810974121094
2009-02-01,50.61317486899853,50.61317486899853,95.44358098216802,76.95695988237152,78.23183609328406,101.12221210283312,101.68303628650288,97.19174837079682,85.1459063363726,101.34598244859696,51.01072497992205,43.99232868512909,1.278499960899353,96.74383544921876,97.28604888916016,99.13699954593774,98.80743408203124,105.2549405380346,77.66821710534637,98.31436734609804,94.00585833254512,114.95858696736852,75.50669907101478,80.65320587158203
2009-03-01,74.09149622613774,74.09149622613774,110.70673999755944,98.34918767089702,104.07200821792524,99.91114914889144,100.50480487531684,109.84161479354088,84.43960301137557,100.14764891916283,51.82135539391874,49.765888418213514,1.3049999475479126,97.10189819335938,97.07794952392578,99.17090212742124,98.91265869140624,103.5193977597773,97.32634787701886,97.38482807589456,93.6979236711418,126.45444566410536,100.43476855702626,89.72926330566406
